city,lat,lng
Grevenmacher,49.7,6.3333
Luxembourg,49.6117,6.13
Auce,56.4611,22.9028
Daugavpils,55.88,26.51
Jekabpils,56.4833,25.85
Salacgriva,57.7531,24.359
Ventspils,57.3899,21.5606
Dundaga,57.505,22.3504
Jaunjelgava,56.6132,25.0832
Nereta,56.2044,25.3077
Alsunga,56.9801,21.564
Kuldiga,56.969,21.968
Pavilosta,56.8898,21.1817
Pinki,56.9419,23.9137
Adazi,57.0705,24.3371
Kandava,57.0389,22.7724
Roja,57.5015,22.8088
Carnikava,57.1293,24.2842
Garkalne,57.0449,24.4195
Saulkrasti,57.2599,24.4189
Smarde,56.9533,23.3387
Mersrags,57.3364,23.1235
Talsi,57.2465,22.5876
Jurmala,56.9567,23.7233
Marupe,56.9032,24.0467
Ulbroka,56.9363,24.3039
Zilupe,56.386,28.1218
Ludza,56.5396,27.7189
Dagda,56.0961,27.5328
Baltinava,56.9439,27.644
Cibla,56.5498,27.8837
Karsava,56.7874,27.6732
Riga,56.95,24.1
Kraslava,55.8969,27.172
Limbazi,57.513,24.724
Preili,56.294,26.7248
Vecvarkava,56.1984,26.5081
Ilukste,55.9779,26.2978
Nica,56.3456,21.0646
Bauska,56.4079,24.1944
Vilaka,57.1843,27.6719
Livani,56.3567,26.1761
Aluksne,57.4216,27.0466
Jaunpils,56.7314,23.0125
Broceni,56.6789,22.5694
Rugaji,57.0033,27.1337
Riebini,56.3403,26.7999
Vilani,56.5505,26.9298
Varaklani,56.6091,26.7547
Ape,57.5394,26.694
Madona,56.851,26.2184
Jaunpiebalga,57.1775,26.0284
Lubana,56.9043,26.7161
Gulbene,57.1734,26.7527
Balvi,57.1287,27.27
Akniste,56.1615,25.7482
Viesite,56.3465,25.5581
Cesvaine,56.9675,26.3076
Kegums,56.7455,24.725
Vecpiebalga,57.0618,25.8179
Smiltene,57.4242,25.9017
Drabesi,57.2433,25.2803
Cesis,57.3091,25.2761
Ergli,56.8988,25.6429
Valka,57.7767,26.0118
Grobina,56.5358,21.1747
Strenci,57.6269,25.6919
Murmuiza,57.4731,25.4917
Mazsalaca,57.8619,25.0547
Aloja,57.7672,24.8774
Burtnieki,57.6949,25.275
Koknese,56.6516,25.4364
Aizkraukle,56.6029,25.2636
Skriveri,56.6485,25.1195
Baldone,56.7445,24.4008
Vecumnieki,56.6061,24.5223
Sala,56.5047,25.7618
Plavinas,56.6177,25.7194
Liepaga,56.51,21.01
Rujiena,57.8961,25.3342
Naukseni,57.8842,25.458
Liegi,56.5797,21.3338
Rauna,57.3337,25.6085
Aizpute,56.7211,21.6016
Koceni,57.5198,25.3404
Valmiera,57.5387,25.4257
Sigulda,57.1538,24.8595
Priekuli,57.3115,25.3571
Ogre,56.8113,24.6113
Ragana,57.1821,24.7056
Loja,57.1534,24.6433
Ropazi,56.9747,24.6329
Priekule,56.4458,21.5939
Iecava,56.5977,24.2076
Rucava,56.164,21.1627
Pilsrundale,56.4181,24.0162
Salaspils,56.861,24.3498
Ikskile,56.834,24.4968
Lielvarde,56.7213,24.8062
Incukalns,57.0987,24.6863
Malpils,57.0101,24.9578
Olaine,56.7947,23.9358
Kekava,56.8296,24.2318
Ligatne,57.2379,25.0436
Stalbe,57.3708,25.0324
Jelgava,56.6527,23.7128
Skrunda,56.6775,22.0165
Vainode,56.4185,21.8541
Saldus,56.6666,22.4935
Tukums,56.9676,23.1555
Tervete,56.4798,23.3902
Dobele,56.6237,23.2751
Rezekne,56.5,27.3166
Aglona,56.1327,27.0068
Ozolnieki,56.6899,23.7761
Tripoli,32.8925,13.18
Al Aziziyah,32.5319,13.0175
Zuwarah,32.9344,12.0791
Al Khums,32.6604,14.26
As Sidr,30.6704,18.2666
Ghadamis,30.1333,9.5
Dirj,30.1679,10.4567
Nalut,31.8804,10.97
Umm al Abid,27.517,15.0333
Sabha,27.0333,14.4333
Birak,27.5333,14.2834
Idri,27.4471,13.0517
Zillah,28.5504,17.5834
Hun,29.1167,15.9333
Az Zawiyah,32.7604,12.72
Awjilah,29.108,21.2869
El Agheila,30.257,19.2
Maradah,29.2337,19.2166
Ajdabiya,30.77,20.22
Darnah,32.7648,22.6391
Al Jaghbub,29.7504,24.5166
Mizdah,31.4337,12.9833
Gharyan,32.1704,13.02
Tubruq,32.08,23.96
Shahhat,32.8281,21.8622
Tajarhi,24.3704,14.4708
Al Bayda,32.7604,21.62
Ghat,24.9647,10.1728
Tmassah,26.3666,15.8
Marzuq,25.9044,13.8972
Al Marj,32.5005,20.83
Surt,31.21,16.59
